Reference_Number,Date_Received,Requester_Name,Requester_Email,Request_Type,Status,Acknowledged_Date,Verified_Date,Response_Due_Date,Response_Sent_Date,Days_to_Complete,Data_Found,Actions_Taken,Notes,Handled_By
20251020-001,2025-10-20,John Doe,john.doe@example.com,Access,Sample - Completed,2025-10-20,2025-10-22,2025-11-19,2025-10-28,8,Yes,Sent complete data export via email,User verified identity quickly,Mostafa
20251020-002,2025-10-20,Jane Smith,jane.smith@example.com,Erasure,Sample - Completed,2025-10-21,2025-10-23,2025-11-19,2025-10-25,5,Yes,Deleted all data from systems,No legal obligation to retain data,Bader
20251020-003,2025-10-20,Bob Johnson,bob@example.com,Rectification,Sample - In Progress,2025-10-20,2025-10-21,2025-11-19,,,,Correcting email address,Awaiting final confirmation,Mostafa
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INSTRUCTIONS:,,,,,,,,,,,,,,
1. Add a new row for each data request received,,,,,,,,,,,,,,
2. Use reference format: YYYYMMDD-### (e.g. 20251020-001),,,,,,,,,,,,,,
3. Request Types: Access / Rectification / Erasure / Restriction / Portability / Objection,,,,,,,,,,,,,,
4. Status Options: Pending / Acknowledged / Verified / In Progress / Completed / Extended,,,,,,,,,,,,,,
5. Response Due Date = Date Received + 30 days,,,,,,,,,,,,,,
6. Days to Complete = Response Sent Date - Date Received,,,,,,,,,,,,,,
7. Data Found: Yes / No / Partial,,,,,,,,,,,,,,
8. Handled By: Mostafa / Bader / Both,,,,,,,,,,,,,,
9. Save this file regularly and keep backups,,,,,,,,,,,,,,
10. Review monthly for any overdue requests (Status != Completed and today > Response_Due_Date),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
QUICK STATS:,,,,,,,,,,,,,,
Count total requests: =COUNTA(A2:A1000)-COUNTA(A2:A4),,,,,,,,,,,,,,
Count completed: =COUNTIF(F2:F1000,"Completed"),,,,,,,,,,,,,,
Count pending: =COUNTIF(F2:F1000,"Pending"),,,,,,,,,,,,,,
Average days to complete: =AVERAGE(K2:K1000),,,,,,,,,,,,,,
Count by type - Access: =COUNTIF(E2:E1000,"Access"),,,,,,,,,,,,,,
Count by type - Erasure: =COUNTIF(E2:E1000,"Erasure"),,,,,,,,,,,,,,
Count by type - Rectification: =COUNTIF(E2:E1000,"Rectification"),,,,,,,,,,,,,,
Count by type - Restriction: =COUNTIF(E2:E1000,"Restriction"),,,,,,,,,,,,,,
Count by type - Portability: =COUNTIF(E2:E1000,"Portability"),,,,,,,,,,,,,,
Count by type - Objection: =COUNTIF(E2:E1000,"Objection"),,,,,,,,,,,,,,
